key,email,foundation_moment,iata,name,phone_number,type,website
airline-22,acme@lorem-ipsum.org,2012/07/02 0:00,SLX,Lorem ipsum dolor sit amet,123456,LOW_COST,ftp://a
airline-23,a@b.e,2012/07/02 0:00,SDX,Lorem ipsum dolor sit amet,123456,LOW_COST,ftp://a.b
airline-24,a@b.es,2012/07/02 0:00,UIX,Lorem ipsum dolor sit amet,123456,LOW_COST,"http://www.lorem-ipsum.org/dolor/sit/amet,/consectetur/adipiscing/elit,/sed/do/eiusmod/tempor/incididunt/ut/labore/et/dolore/magna/aliqua/Ut/enim/ad/minim/veniam/quis/nostrud/exercitation/ullamco/laboris/nisi/ut/aliquip/ex/ea/commodo/consequat/duis/aute/"
airline-25,lorem-ipsum@dolor.sit.amet.consectetur.adipiscing.elit.sed.do.eiusmod.tempor.incididunt.ut.labore.et.dolore.magna.aliqua.Ut.enim.ad.minim.veniam.quis.nostrud.exercitation.ullamco.laboris.nisi.ut.aliquip.ex.ea.commodo.consequat.duis.aute.irure.doloris.edu,2012/07/02 0:00,BEX,Lorem ipsum dolor sit amet,123456,LOW_COST,https://www.lorem-ipsum.org
airline-26,lorem-ipsum@dolor.sit.amet.consectetur.adipiscing.elit.sed.do.eiusmod.tempor.incididunt.ut.labore.et.dolore.magna.aliqua.Ut.enim.ad.minim.veniam.quis.nostrud.exercitation.ullamco.laboris.nisi.ut.aliquip.ex.ea.commodo.consequat.duis.aute.irure.dolor.es.org,2012/07/02 0:00,FJX,Lorem ipsum dolor sit amet,123456,LOW_COST,ftp://www.lorem-ipsum.org
airline-27,acme@lorem-ipsum.org,2012/07/02 0:00,BLX,Lorem ipsum dolor sit amet,123456,LOW_COST,http://www.lorem-ipsum.org/dolor/sit.html
airline-28,acme@lorem-ipsum.org,2012/07/02 0:00,MMM,Lorem ipsum dolor sit amet,123456,LOW_COST,http://www.lorem-ipsum.org/dolor/sit.html#dolor
airline-29,a@b.e,2012/07/02 0:00,OIX,Lorem ipsum dolor sit amet,123456,LOW_COST,http://example.org?a=1&b=2
airline-30,a@b.es,2012/07/02 0:00,QQQ,Lorem ipsum dolor sit amet,123456,LOW_COST,http://example.org?
airline-31,lorem-ipsum@dolor.sit.amet.consectetur.adipiscing.elit.sed.do.eiusmod.tempor.incididunt.ut.labore.et.dolore.magna.aliqua.Ut.enim.ad.minim.veniam.quis.nostrud.exercitation.ullamco.laboris.nisi.ut.aliquip.ex.ea.commodo.consequat.duis.aute.irure.doloris.edu,2012/07/02 0:00,POX,Lorem ipsum dolor sit amet,123456,LOW_COST,http://example.org?a
airline-32,lorem-ipsum@dolor.sit.amet.consectetur.adipiscing.elit.sed.do.eiusmod.tempor.incididunt.ut.labore.et.dolore.magna.aliqua.Ut.enim.ad.minim.veniam.quis.nostrud.exercitation.ullamco.laboris.nisi.ut.aliquip.ex.ea.commodo.consequat.duis.aute.irure.dolor.es.org,2012/07/02 0:00,GHX,Lorem ipsum dolor sit amet,123456,LOW_COST,http://example.org?a&b
airline-33,acme@lorem-ipsum.org,2012/07/02 0:00,ZWX,Lorem ipsum dolor sit amet,123456,LOW_COST,http://example.org/
airline-34,acme@lorem-ipsum.org,2012/07/02 0:00,MBX,Lorem ipsum dolor sit amet,123456,LOW_COST,http://example.org/a
airline-35,a@b.e,2012/07/02 0:00,IIX,Lorem ipsum dolor sit amet,123456,LOW_COST,http://example.org/a/b
airline-36,a@b.es,2012/07/02 0:00,BDX,Lorem ipsum dolor sit amet,123456,LOW_COST,http://example.org/a/b?
airline-37,lorem-ipsum@dolor.sit.amet.consectetur.adipiscing.elit.sed.do.eiusmod.tempor.incididunt.ut.labore.et.dolore.magna.aliqua.Ut.enim.ad.minim.veniam.quis.nostrud.exercitation.ullamco.laboris.nisi.ut.aliquip.ex.ea.commodo.consequat.duis.aute.irure.doloris.edu,2012/07/02 0:00,BQX,Lorem ipsum dolor sit amet,123456,LOW_COST,http://example.org/a/b?a&b
#airline type variations
airline-50,acme@lorem-ipsum.org,2012/07/02 0:00,VBF,Lorem ipsum dolor sit ame,123456,LOW_COST,http://lorem.com/ipsum
airline-51,acme@lorem-ipsum.org,2012/07/02 0:00,VTQ,Lorem ipsum dolor sit ame,123456,STANDARD,http://lorem.com/ipsum
airline-52,acme@lorem-ipsum.org,2012/07/02 0:00,VSL,Lorem ipsum dolor sit ame,123456,LUXURY,http://lorem.com/ipsum
