key,airportName,IATACode,operationalScope,city,country,website,email,contactPhoneNumber
airport-22,"Lorem ipsum dolor sit ame",UWR,INTERNATIONAL,"Lorem ipsum dolor sit amet, consectetur adipiscing","Lorem ipsum dolor sit ame","http://lorem.com/ipsum","acme@lorem-ipsum.org",+41840843849
airport-23,"Lorem ipsum dolor sit ame",UWS,INTERNATIONAL,"โลเร็ม อิปซัม","Lorem ipsum dolor sit ame","http://lorem.com/ipsum","acme@lorem-ipsum.org",+41840843849
airport-24,"Lorem ipsum dolor sit ame",UWT,INTERNATIONAL,"لوريم إيبسوم","Lorem ipsum dolor sit ame","http://lorem.com/ipsum","acme@lorem-ipsum.org",+41840843849
airport-25,"Lorem ipsum dolor sit ame",UWU,INTERNATIONAL,"洛伦·伊普森","Lorem ipsum dolor sit ame","http://lorem.com/ipsum","acme@lorem-ipsum.org",+41840843849
airport-26,"Lorem ipsum dolor sit ame",UWV,INTERNATIONAL,"<marquee>Hacked</marquee>","Lorem ipsum dolor sit ame","http://lorem.com/ipsum","acme@lorem-ipsum.org",+41840843849
airport-27,"Lorem ipsum dolor sit ame",UWW,INTERNATIONAL,"<script>alert(‘Hacked!’);</script>","Lorem ipsum dolor sit ame","http://lorem.com/ipsum","acme@lorem-ipsum.org",+41840843849
airport-28,"Lorem ipsum dolor sit ame",UWX,INTERNATIONAL,"' or 'A' = 'A","L","http://lorem.com/ipsum","acme@lorem-ipsum.org",+41840843849
# Country variations
airport-29,"Lorem ipsum dolor sit ame",UWY,INTERNATIONAL,"Lorem ipsum dolor sit ame","Lo","http://lorem.com/ipsum","acme@lorem-ipsum.org",+41840843849
airport-30,"Lorem ipsum dolor sit ame",UWZ,INTERNATIONAL,"Lorem ipsum dolor sit ame","Lorem ipsum dolor sit amet, consectetur adipiscin","http://lorem.com/ipsum","acme@lorem-ipsum.org",+41840843849
airport-31,"Lorem ipsum dolor sit ame",UAK,INTERNATIONAL,"Lorem ipsum dolor sit ame","Lorem ipsum dolor sit amet, consectetur adipiscing","http://lorem.com/ipsum","acme@lorem-ipsum.org",+41840843849
airport-32,"Lorem ipsum dolor sit ame",UBK,INTERNATIONAL,"Lorem ipsum dolor sit ame","โลเร็ม อิปซัม","http://lorem.com/ipsum","acme@lorem-ipsum.org",+41840843849
airport-33,"Lorem ipsum dolor sit ame",UCK,INTERNATIONAL,"Lorem ipsum dolor sit ame","لوريم إيبسوم","http://lorem.com/ipsum","acme@lorem-ipsum.org",+41840843849
airport-34,"Lorem ipsum dolor sit ame",UDK,INTERNATIONAL,"Lorem ipsum dolor sit ame","洛伦·伊普森","http://lorem.com/ipsum","acme@lorem-ipsum.org",+41840843849
airport-35,"Lorem ipsum dolor sit ame",UEK,INTERNATIONAL,"Lorem ipsum dolor sit ame","<marquee>Hacked</marquee>","http://lorem.com/ipsum","acme@lorem-ipsum.org",+41840843849
airport-36,"Lorem ipsum dolor sit ame",UFK,INTERNATIONAL,"Lorem ipsum dolor sit ame","<script>alert(‘Hacked!’);</script>","http://lorem.com/ipsum","acme@lorem-ipsum.org",+41840843849
airport-37,"Lorem ipsum dolor sit ame",UGK,INTERNATIONAL,"Lorem ipsum dolor sit ame","' or 'A' = 'A","http://lorem.com/ipsum","acme@lorem-ipsum.org",+41840843849
# Website variations
airport-38,"Lorem ipsum dolor sit ame",UHK,INTERNATIONAL,"Lorem ipsum dolor sit ame","Lorem ipsum dolor sit ame","ftp://a.b","acme@lorem-ipsum.org",+41840843849
airport-39,"Lorem ipsum dolor sit ame",UIK,INTERNATIONAL,"Lorem ipsum dolor sit ame","Lorem ipsum dolor sit ame","https://www.lorem-ipsum.org","acme@lorem-ipsum.org",+41840843849
airport-40,"Lorem ipsum dolor sit ame",UJK,INTERNATIONAL,"Lorem ipsum dolor sit ame","Lorem ipsum dolor sit ame","http://www.lorem-ipsum.org/dolor/sit.html","acme@lorem-ipsum.org",+41840843849
airport-41,"Lorem ipsum dolor sit ame",UKK,INTERNATIONAL,"Lorem ipsum dolor sit ame","Lorem ipsum dolor sit ame","http://example.org/a/b?","acme@lorem-ipsum.org",+41840843849
airport-42,"Lorem ipsum dolor sit ame",ULK,INTERNATIONAL,"Lorem ipsum dolor sit ame","Lorem ipsum dolor sit ame","http://example.org?a=1&b=2","acme@lorem-ipsum.org",+41840843849
# Email variations
airport-43,"Lorem ipsum dolor sit ame",UMK,INTERNATIONAL,"Lorem ipsum dolor sit ame","Lorem ipsum dolor sit ame","http://lorem.com/ipsum","a@b.e",+41840843849
airport-44,"Lorem ipsum dolor sit ame",AMK,INTERNATIONAL,"Lorem ipsum dolor sit ame","Lorem ipsum dolor sit ame","http://lorem.com/ipsum","aaaaaaa@gmail.eio",+41840843849
airport-45,"Lorem ipsum dolor sit ame",UNK,INTERNATIONAL,"Lorem ipsum dolor sit ame","Lorem ipsum dolor sit ame","http://lorem.com/ipsum","a@b.es",+41840843849
airport-46,"Lorem ipsum dolor sit ame",UOK,INTERNATIONAL,"Lorem ipsum dolor sit ame","Lorem ipsum dolor sit ame","http://lorem.com/ipsum","a@b.esx",+41840843849
airport-47,"Lorem ipsum dolor sit ame",UPK,INTERNATIONAL,"Lorem ipsum dolor sit ame","Lorem ipsum dolor sit ame","http://lorem.com/ipsum","lorem-ipsum@dolor.sit.amet.consectetur.adipiscing.elit.sed.do.eiusmod.tempor.incididunt.ut.labore.et.dolore.magna.aliqua.Ut.enim.ad.minim.veniam.quis.nostrud.exercitation.ullamco.laboris.nisi.ut.aliquip.ex.ea.commodo.consequat.duis.aute.irure.doloris.edu",+41840843849
# Phone number variations
airport-48,"Lorem ipsum dolor sit ame",UQK,INTERNATIONAL,"Lorem ipsum dolor sit ame","Lorem ipsum dolor sit ame","http://lorem.com/ipsum","acme@lorem-ipsum.org",+92124788689114
airport-49,"Lorem ipsum dolor sit ame",URK,INTERNATIONAL,"Lorem ipsum dolor sit ame","Lorem ipsum dolor sit ame","http://lorem.com/ipsum","acme@lorem-ipsum.org",+522196
airport-50,"Lorem ipsum dolor sit ame",USK,INTERNATIONAL,"Lorem ipsum dolor sit ame","Lorem ipsum dolor sit ame","http://lorem.com/ipsum","acme@lorem-ipsum.org",+71308330098
airport-51,"Lorem ipsum dolor sit ame",UTK,INTERNATIONAL,"Lorem ipsum dolor sit ame","Lorem ipsum dolor sit ame","http://lorem.com/ipsum","acme@lorem-ipsum.org",+078017949498


